"filename", "language", "Markdown", "YAML", "Gradle", "Properties", "Dart", "JSON", "HTML", "XML", "Swift", "C++", "Kotlin", "comment", "blank", "total"
"d:\FlutterProject\wallpaper_maker\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"d:\FlutterProject\wallpaper_maker\android\app\build.gradle", "Gradle", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12, 68
"d:\FlutterProject\wallpaper_maker\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"d:\FlutterProject\wallpaper_maker\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 4, 45
"d:\FlutterProject\wallpaper_maker\android\app\src\main\kotlin\com\example\wallpaper_maker\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 17, 8, 63
"d:\FlutterProject\wallpaper_maker\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\FlutterProject\wallpaper_maker\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 1, 9
"d:\FlutterProject\wallpaper_maker\android\app\src\main\res\xml\file_paths_public.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"d:\FlutterProject\wallpaper_maker\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"d:\FlutterProject\wallpaper_maker\android\build.gradle", "Gradle", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 39
"d:\FlutterProject\wallpaper_maker\android\gradle.properties", "Properties", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\FlutterProject\wallpaper_maker\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"d:\FlutterProject\wallpaper_maker\android\settings.gradle", "Gradle", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\FlutterProject\wallpaper_maker\assets\icons\close.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 1, 41
"d:\FlutterProject\wallpaper_maker\assets\icons\country.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 1, 70
"d:\FlutterProject\wallpaper_maker\assets\icons\delete.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\FlutterProject\wallpaper_maker\assets\icons\geometry.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 1, 1, 47
"d:\FlutterProject\wallpaper_maker\assets\icons\image.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\FlutterProject\wallpaper_maker\assets\icons\palette.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 1, 56
"d:\FlutterProject\wallpaper_maker\assets\icons\pen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 1, 52
"d:\FlutterProject\wallpaper_maker\assets\icons\save.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 1, 52
"d:\FlutterProject\wallpaper_maker\assets\icons\typo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\FlutterProject\wallpaper_maker\assets\icons\undo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 1, 50
"d:\FlutterProject\wallpaper_maker\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\FlutterProject\wallpaper_maker\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"d:\FlutterProject\wallpaper_maker\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"d:\FlutterProject\wallpaper_maker\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\FlutterProject\wallpaper_maker\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\FlutterProject\wallpaper_maker\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\FlutterProject\wallpaper_maker\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\FlutterProject\wallpaper_maker\lib\beans\selectable_bean.dart", "Dart", 0, 0, 0, 0, 413, 0, 0, 0, 0, 0, 0, 73, 84, 570
"d:\FlutterProject\wallpaper_maker\lib\cus_widgets\cus_gesture.dart", "Dart", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 16, 116
"d:\FlutterProject\wallpaper_maker\lib\cus_widgets\cus_painter.dart", "Dart", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 3, 14, 87
"d:\FlutterProject\wallpaper_maker\lib\inherit\configuration.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 11, 8, 37
"d:\FlutterProject\wallpaper_maker\lib\inherit\constants.dart", "Dart", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"d:\FlutterProject\wallpaper_maker\lib\inherit\inherited_config.dart", "Dart", 0, 0, 0, 0, 530, 0, 0, 0, 0, 0, 0, 62, 92, 684
"d:\FlutterProject\wallpaper_maker\lib\main.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\FlutterProject\wallpaper_maker\lib\routes\route_clip.dart", "Dart", 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 20, 35, 313
"d:\FlutterProject\wallpaper_maker\lib\routes\route_create.dart", "Dart", 0, 0, 0, 0, 248, 0, 0, 0, 0, 0, 0, 3, 19, 270
"d:\FlutterProject\wallpaper_maker\lib\routes\route_detail.dart", "Dart", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 3, 14, 130
"d:\FlutterProject\wallpaper_maker\lib\routes\route_edit.dart", "Dart", 0, 0, 0, 0, 684, 0, 0, 0, 0, 0, 0, 35, 58, 777
"d:\FlutterProject\wallpaper_maker\lib\routes\route_library.dart", "Dart", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 2, 10, 135
"d:\FlutterProject\wallpaper_maker\lib\utils\utils.dart", "Dart", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 9, 18, 131
"d:\FlutterProject\wallpaper_maker\pubspec.yaml", "YAML", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 16, 110
"d:\FlutterProject\wallpaper_maker\test\widget_test.dart", "Dart", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 17, 6, 28
"d:\FlutterProject\wallpaper_maker\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 5, 4, 34
"d:\FlutterProject\wallpaper_maker\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 13, 45, 98, 9, 2705, 168, 25, 476, 12, 1, 38, 344, 468, 4402
